FileName, CommitSha
37 - Security Service Registry ACL Modification.json,62f5f433b47687e2e1f9e28e922bdc82f7657564
0-6666-Create incidents based on Azure Active Directory Identity Protection alerts (Medium-High only).json,246712f3eb0aaa802bae58df59b36dc33a6ba264
152 - User Accounts - Sign in Failure due to CA Spikes.json,b64a296f3829dee3d0da356764a97e0c8774b495
30 - Possible STRONTIUM attempted credential harvesting.json,a76642fb98a4d371d57ec3382214bd18c2c33e63
92 - Dev-0960 Prestige ransomware IOCs Oct 2022.json,5d33c8a6350817c720d10c0577ca83880a5fd7cd
52 - Bulk Changes to Privileged Account Permissions.json,a793f54e8ad04986e48b518e88fa568f6ac03a2e
28 - Threatview.io - IP Blocklist.json,f0539e92a9f97adc87332534d4579f13f9af1426
22 - Qbot Spread.json,065b539a78439025abc545772cfe56f50922d7f1
183 - NRT Suspicious Entra ID Joined Device Update.json,a0352d89889c96aa3314612eebf83555c653983b
13 - Agent Tesla Spyware Detected.json,3803cf8704b63d0af588e6f63faf2ba08456f23d
155 - Windows Binaries Executed from Non-Default Directory.json,010127b24f19b529122951b151284fe5cd71eea4
48 - Zinc Actor IOCs files - October 2022.json,fd49d85a9fd5c9f8b6a7be69fc91154dfd6b2470
19 - Dev-0530 - July 2022.json,847759beef2a216b9a45a4c32f7a4cde098ed3b1
02 - Possible STRONTIUM attempted credential harvesting - MTP.json,6717f5e2a3b448bd76b54ff850fc08aafd9aee3a
73 - Suspicious application consent similar to PwnAuth.json,0abeeb08e482562b1a614e6b1c5ad188161f0b82
76 - Account created or deleted by non-approved user.json,d00c68057709d74ee6fcf805ac19b5f7bc81563c
Defender client reported an error - 007.json,8f998bf87e1a5ab179b5368d60e1aae1955ec693
04 - Conditional Access - A Conditional Access app exclusion has changed.json,ed7a4b2d251deb1fd81e24e256b7fd12fb9cf3f0
05 - Conditional Access - A Conditional Access Device platforms condition has changed (the Device platforms condition can be spoofed).json,a93ed019ef1f49e34ee9e9021ac7a1bcf8bff698
179 - Possible AiTM Phishing Attempt Against Azure AD.json,8338b2285c6e74e8c0bc0de574d750b3c72e8893
32 - Threatview.io - URL Blocklist.json,8dd52875c3b878c8e3ea3d8857dd5fc138eee24c
133 - Credential Dumping Tools - Service Installation.json,69c23d13a0d08a0250be741cbc794a9d1a19b6f6
35 - Authentication Methods Changed for Privileged Account.json,38b0a9b98d9f2f01bee902090490f675b409cec5
124 - Authentications of Privileged Accounts Outside of Expected Controls.json,f0780501090d2a33fe021df063b353d4beae5127
132 - Group created then added to built in domain local or global group.json,81c03fffb0329d5f757cb117c3bd1034075b254a
41 - Modifications to High Privileged Accounts.json,4062dc9f3dfe50b8ea9f720762b6dda269b182f0
118 - AV detections related to Tarrask malware.json,ce0cbd67c4ae90597896d548ea0348684ed2dfd2
45 - Add malicious user to Admins and RDP users group via PowerShell.json,1ea8a270e830e8c1e753148387b9f489f556e23e
46 - SEABORGIUM-Domain IOCs.json,d6af2e501d7a99f369886c0145706ced5d189df3
